black	1980	0.039	0.022	0.061
black	1981	0.041	0.015	0.089
black	1982	0.056	0.028	0.100
black	1983	0.042	0.018	0.072
black	1984	0.084	0.046	0.136
black	1985	0.070	0.038	0.108
black	1986	0.106	0.057	0.178
black	1987	0.079	0.046	0.116
black	1988	0.079	0.039	0.134
black	1989	0.080	0.039	0.141
black	1990	0.085	0.044	0.141
black	1991	0.075	0.032	0.138
black	1992	0.135	0.077	0.206
black	1993	0.110	0.063	0.174
black	1994	0.091	0.057	0.137
black	1995	0.098	0.061	0.144
black	1996	0.146	0.086	0.229
black	1997	0.092	0.055	0.144
black	1998	0.126	0.073	0.187
black	1999	0.082	0.046	0.131
black	2000	0.164	0.103	0.236
black	2001	0.103	0.053	0.160
black	2002	0.131	0.078	0.188
black	2003	0.125	0.073	0.179
black	2004	0.127	0.075	0.199
black	2005	0.144	0.082	0.215
black	2006	0.120	0.063	0.186
black	2007	0.220	0.132	0.314
black	2008	0.079	0.047	0.122
black	2009	0.091	0.049	0.146
black	2010	0.092	0.051	0.150
black	2011	0.049	0.029	0.073
black	2012	0.092	0.048	0.142
black	2013	0.120	0.074	0.184
black	2014	0.108	0.060	0.169
black	2015	0.165	0.101	0.242
black	2016	0.129	0.078	0.189
black	2017	0.146	0.097	0.203
black	2018	0.152	0.102	0.214
black	2019	0.201	0.143	0.269
black	2020	0.117	0.067	0.183
black	2021	0.164	0.107	0.230
black	2022	0.190	0.130	0.262
east_asian	1980	0.016	0.005	0.038
east_asian	1981	0.004	0.001	0.007
east_asian	1982	0.004	0.002	0.007
east_asian	1983	0.009	0.004	0.019
east_asian	1984	0.022	0.009	0.038
east_asian	1985	0.036	0.011	0.072
east_asian	1986	0.025	0.004	0.057
east_asian	1987	0.010	0.005	0.015
east_asian	1988	0.022	0.003	0.061
east_asian	1989	0.014	0.004	0.030
east_asian	1990	0.008	0.005	0.012
east_asian	1991	0.016	0.007	0.030
east_asian	1992	0.012	0.003	0.027
east_asian	1993	0.040	0.009	0.088
east_asian	1994	0.019	0.009	0.034
east_asian	1995	0.019	0.005	0.045
east_asian	1996	0.020	0.002	0.058
east_asian	1997	0.009	0.003	0.016
east_asian	1998	0.014	0.004	0.035
east_asian	1999	0.008	0.003	0.014
east_asian	2000	0.026	0.005	0.056
east_asian	2001	0.032	0.006	0.078
east_asian	2002	0.022	0.007	0.046
east_asian	2003	0.038	0.014	0.072
east_asian	2004	0.011	0.005	0.022
east_asian	2005	0.009	0.004	0.016
east_asian	2006	0.018	0.007	0.034
east_asian	2007	0.019	0.007	0.040
east_asian	2008	0.032	0.013	0.061
east_asian	2009	0.018	0.008	0.033
east_asian	2010	0.021	0.009	0.041
east_asian	2011	0.018	0.009	0.029
east_asian	2012	0.014	0.007	0.021
east_asian	2013	0.024	0.010	0.047
east_asian	2014	0.019	0.010	0.029
east_asian	2015	0.015	0.009	0.022
east_asian	2016	0.019	0.011	0.029
east_asian	2017	0.032	0.021	0.049
east_asian	2018	0.048	0.022	0.093
east_asian	2019	0.035	0.019	0.056
east_asian	2020	0.047	0.018	0.098
east_asian	2021	0.072	0.033	0.125
east_asian	2022	0.047	0.020	0.091
hispanic_latino	1980	0.044	0.033	0.057
hispanic_latino	1981	0.049	0.035	0.066
hispanic_latino	1982	0.044	0.031	0.060
hispanic_latino	1983	0.054	0.034	0.078
hispanic_latino	1984	0.052	0.034	0.075
hispanic_latino	1985	0.039	0.029	0.050
hispanic_latino	1986	0.042	0.031	0.053
hispanic_latino	1987	0.049	0.033	0.071
hispanic_latino	1988	0.032	0.023	0.042
hispanic_latino	1989	0.033	0.022	0.045
hispanic_latino	1990	0.041	0.028	0.056
hispanic_latino	1991	0.044	0.029	0.062
hispanic_latino	1992	0.033	0.026	0.042
hispanic_latino	1993	0.043	0.031	0.056
hispanic_latino	1994	0.044	0.033	0.054
hispanic_latino	1995	0.046	0.035	0.059
hispanic_latino	1996	0.037	0.027	0.050
hispanic_latino	1997	0.036	0.025	0.051
hispanic_latino	1998	0.040	0.028	0.058
hispanic_latino	1999	0.034	0.025	0.043
hispanic_latino	2000	0.032	0.021	0.045
hispanic_latino	2001	0.062	0.043	0.084
hispanic_latino	2002	0.051	0.035	0.072
hispanic_latino	2003	0.045	0.032	0.062
hispanic_latino	2004	0.043	0.031	0.057
hispanic_latino	2005	0.049	0.032	0.068
hispanic_latino	2006	0.049	0.032	0.068
hispanic_latino	2007	0.059	0.044	0.077
hispanic_latino	2008	0.050	0.036	0.066
hispanic_latino	2009	0.061	0.048	0.077
hispanic_latino	2010	0.054	0.040	0.069
hispanic_latino	2011	0.049	0.034	0.068
hispanic_latino	2012	0.055	0.041	0.073
hispanic_latino	2013	0.049	0.035	0.066
hispanic_latino	2014	0.058	0.043	0.075
hispanic_latino	2015	0.054	0.039	0.071
hispanic_latino	2016	0.048	0.036	0.062
hispanic_latino	2017	0.078	0.064	0.093
hispanic_latino	2018	0.077	0.060	0.094
hispanic_latino	2019	0.091	0.064	0.122
hispanic_latino	2020	0.077	0.055	0.102
hispanic_latino	2021	0.095	0.069	0.126
hispanic_latino	2022	0.094	0.068	0.119
south_asian	1980	0.009	0.004	0.014
south_asian	1981	0.005	0.002	0.010
south_asian	1982	0.005	0.002	0.010
south_asian	1983	0.012	0.002	0.029
south_asian	1984	0.009	0.005	0.014
south_asian	1985	0.008	0.005	0.012
south_asian	1986	0.006	0.003	0.010
south_asian	1987	0.007	0.004	0.011
south_asian	1988	0.005	0.003	0.008
